School Name,School Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP,Ach_PCTL,Year
Cohasset - Cohasset Middle School,650305,MATH,         159,46,           7,2,         152,44,         170,49,          16,5,         345,99,497.8,27.7,         332,,2021
Cohasset - Cohasset Middle School,650305,SCI,          60,57,          18,17,          42,40,          41,39,           4,4,         105,99,505.2,,,,2021
Cohasset - Deer Hill,650005,ELA,         204,68,          32,11,         172,58,          90,30,           4,1,         298,99,507.7,46.0,          88,,2021
Cohasset - Deer Hill,650005,MATH,         132,44,           4,1,         128,43,         139,47,          26,9,         297,98,495.7,38.7,          88,,2021
Cohasset - Deer Hill,650005,SCI,          53,58,           8,9,          45,49,          34,37,           4,4,          91,100,504.6,,,,2021
Collegiate Charter School of Lowell (District) - Collegiate Charter School of Lowell,35030205,ELA,         285,44,          33,5,         252,38,         290,44,          80,12,         655,99,495.2,39.6,         384,,2021
Collegiate Charter School of Lowell (District) - Collegiate Charter School of Lowell,35030205,MATH,         140,21,          14,2,         126,19,         396,61,         116,18,         652,98,486.8,32.2,         380,,2021
Collegiate Charter School of Lowell (District) - Collegiate Charter School of Lowell,35030205,SCI,          56,34,           6,4,          50,30,          82,49,          28,17,         166,98,490.8,,,,2021
Community Charter School of Cambridge (District) - Community Charter School of Cambridge,4360305,ELA,          62,46,           9,7,          53,40,          55,41,          17,13,         134,100,498.0,32.8,         123,,2021
Community Charter School of Cambridge (District) - Community Charter School of Cambridge,4360305,MATH,          46,34,           4,3,          42,31,          66,49,          23,17,         135,100,490.2,31.0,         123,,2021
Community Charter School of Cambridge (District) - Community Charter School of Cambridge,4360305,SCI,          12,32,           0,0,          12,32,          18,47,           8,21,          38,97,489.2,,,,2021
Community Day Charter Public School (District) - Community Day Charter Public School,4400205,ELA,         125,47,          24,9,         101,38,         105,39,          38,14,         268,100,498.0,33.8,         168,,2021
Community Day Charter Public School (District) - Community Day Charter Public School,4400205,MATH,         102,38,           7,3,          95,35,         135,50,          31,12,         268,100,493.1,24.6,         168,,2021
Community Day Charter Public School (District) - Community Day Charter Public School,4400205,SCI,          25,37,           2,3,          23,34,          35,51,           8,12,          68,100,493.2,,,,2021
Community Day Charter Public School - Gateway (District) - Community Day Charter Public School - Gateway,4260205,ELA,         122,50,          24,10,          98,40,          87,36,          34,14,         243,100,498.4,26.3,         157,,2021
Community Day Charter Public School - Gateway (District) - Community Day Charter Public School - Gateway,4260205,MATH,         103,43,           8,3,          95,39,          93,38,          46,19,         242,100,491.6,19.0,         156,,2021
Community Day Charter Public School - Gateway (District) - Community Day Charter Public School - Gateway,4260205,SCI,          25,38,           3,5,          22,33,          27,41,          14,21,          66,100,493.1,,,,2021
Community Day Charter Public School - R. Kingman Webster (District) - Community Day Charter Public School - R. Kingman Webster,4310205,ELA,         124,52,          21,9,         103,43,          94,39,          21,9,         239,100,500.3,30.3,         150,,2021
Community Day Charter Public School - R. Kingman Webster (District) - Community Day Charter Public School - R. Kingman Webster,4310205,MATH,          90,38,           9,4,          81,34,         115,48,          34,14,         239,100,492.1,13.8,         150,,2021
Community Day Charter Public School - R. Kingman Webster (District) - Community Day Charter Public School - R. Kingman Webster,4310205,SCI,          19,31,           3,5,          16,26,          32,52,          10,16,          61,100,491.8,,,,2021
Concord - Alcott,670005,ELA,         166,77,          42,20,         124,58,          45,21,           4,2,         215,98,512.6,41.4,          81,,2021
Concord - Alcott,670005,MATH,         158,73,          48,22,         110,51,          49,23,           8,4,         215,98,511.6,50.2,          80,,2021
Concord - Alcott,670005,SCI,          58,70,          12,14,          46,55,          21,25,           4,5,          83,98,510.3,,,,2021
Concord - Concord Middle,670305,ELA,         437,67,          98,15,         339,52,         184,28,          35,5,         656,97,508.7,36.3,         608,,2021
Concord - Concord Middle,670305,MATH,         348,53,          63,10,         285,43,         257,39,          51,8,         656,97,501.6,21.9,         609,,2021
Concord - Concord Middle,670305,SCI,         136,64,          37,18,          99,47,          62,29,          13,6,         211,98,507.1,,,,2021
Concord - Thoreau,670020,ELA,         165,75,          26,12,         139,63,          52,24,           3,1,         220,98,510.7,39.3,          65,,2021
Concord - Thoreau,670020,MATH,         144,65,          24,11,         120,55,          71,32,           5,2,         220,98,507.0,48.1,          65,,2021
Concord - Thoreau,670020,SCI,          48,70,          11,16,          37,54,          19,28,           2,3,          69,97,510.2,,,,2021
Concord - Willard,670030,ELA,         151,73,          31,15,         120,58,          52,25,           5,2,         208,98,510.1,36.4,          64,,2021
Concord - Willard,670030,MATH,         142,68,          23,11,         119,57,          57,27,           9,4,         208,98,506.4,39.4,          64,,2021
Concord - Willard,670030,SCI,          53,76,           7,10,          46,66,          15,21,           2,3,          70,97,511.3,,,,2021
Conservatory Lab Charter (District) - Conservatory Lab Charter School,4390050,ELA,          82,34,          11,5,          71,29,         121,50,          40,16,         243,100,491.3,32.5,         133,,2021
Conservatory Lab Charter (District) - Conservatory Lab Charter School,4390050,MATH,          42,18,           4,2,          38,16,         106,44,          92,38,         240,98,476.9,20.4,         132,,2021
Conservatory Lab Charter (District) - Conservatory Lab Charter School,4390050,SCI,          21,32,           2,3,          19,29,          30,46,          14,22,          65,97,488.5,,,,2021
Conway - Conway Grammar,680005,ELA,          41,59,           7,10,          34,49,          26,38,           2,3,          69,96,505.4,37.7,          34,,2021
Conway - Conway Grammar,680005,MATH,          32,46,           7,10,          25,36,          35,51,           2,3,          69,96,497.8,19.9,          34,,2021
Conway - Conway Grammar,680005,SCI,          11,52,           1,5,          10,48,          10,48,           0,0,          21,100,507.6,,,,2021
Danvers - Great Oak,710015,ELA,          95,52,          18,10,          77,42,          81,44,           7,4,         183,99,502.0,35.6,          65,,2021
Danvers - Great Oak,710015,MATH,          73,40,           6,3,          67,37,          92,50,          18,10,         183,99,494.1,35.7,          65,,2021
Danvers - Great Oak,710015,SCI,          22,33,           3,4,          19,28,          34,51,          11,16,          67,100,490.1,,,,2021
Danvers - Highlands,710010,ELA,          88,54,          11,7,          77,48,          66,41,           8,5,         162,94,501.4,39.8,          55,,2021
Danvers - Highlands,710010,MATH,          73,45,           6,4,          67,41,          66,40,          24,15,         163,95,494.7,42.5,          56,,2021
Danvers - Highlands,710010,SCI,          18,32,           1,2,          17,30,          31,55,           7,13,          56,97,491.9,,,,2021
Danvers - Holten Richmond Middle School,710305,ELA,         278,40,          34,5,         244,35,         309,44,         109,16,         696,89,494.5,33.3,         677,,2021
Danvers - Holten Richmond Middle School,710305,MATH,         182,26,           6,1,         176,26,         394,57,         111,16,         687,88,489.1,24.3,         669,,2021
Danvers - Holten Richmond Middle School,710305,SCI,          92,48,          21,11,          71,37,          74,39,          24,13,         190,83,499.9,,,,2021
Danvers - Ivan G Smith,710032,ELA,         100,72,          19,14,          81,59,          36,26,           2,1,         138,96,510.3,50.4,          46,,2021
Danvers - Ivan G Smith,710032,MATH,          80,58,          16,12,          64,46,          45,32,          14,10,         139,97,500.9,57.9,          46,,2021
Danvers - Ivan G Smith,710032,SCI,          24,50,           4,8,          20,42,          22,46,           2,4,          48,94,501.7,,,,2021
Danvers - Riverside,710030,ELA,          67,63,          11,10,          56,52,          32,30,           8,7,         107,97,501.8,53.1,          31,,2021
Danvers - Riverside,710030,MATH,          44,41,           2,2,          42,39,          41,38,          22,21,         107,97,490.7,48.3,          31,,2021
Danvers - Riverside,710030,SCI,          13,37,           2,6,          11,31,          19,54,           3,9,          35,100,493.7,,,,2021
Danvers - Willis E Thorpe,710045,ELA,          93,63,          22,15,          71,48,          48,32,           7,5,         148,99,505.6,31.9,          46,,2021
Danvers - Willis E Thorpe,710045,MATH,          93,63,          15,10,          78,53,          43,29,          12,8,         148,99,504.5,31.2,          46,,2021
Danvers - Willis E Thorpe,710045,SCI,          19,41,           2,4,          17,37,          19,41,           8,17,          46,98,493.7,,,,2021
Dartmouth - Dartmouth Middle,720050,ELA,         423,53,          98,12,         325,40,         286,36,          95,12,         804,94,502.2,39.7,         765,,2021
Dartmouth - Dartmouth Middle,720050,MATH,         335,42,          35,4,         300,37,         382,48,          86,11,         803,94,496.0,35.2,         759,,2021
Dartmouth - Dartmouth Middle,720050,SCI,         107,41,          20,8,          87,33,         125,48,          28,11,         260,91,496.9,,,,2021
Dartmouth - George H Potter,720030,ELA,          86,49,          13,7,          73,42,          80,46,           9,5,         175,99,499.3,37.1,          58,,2021
Dartmouth - George H Potter,720030,MATH,          65,37,           5,3,          60,34,          85,49,          25,14,         175,99,491.8,38.2,          58,,2021
Dartmouth - George H Potter,720030,SCI,          20,34,           2,3,          18,31,          28,47,          11,19,          59,97,491.2,,,,2021
Dartmouth - James M. Quinn School,720040,ELA,         162,57,          21,7,         141,50,         103,36,          19,7,         284,96,502.3,46.2,          92,,2021
Dartmouth - James M. Quinn School,720040,MATH,         125,44,           7,2,         118,41,         124,44,          36,13,         285,97,494.9,34.8,          93,,2021
Dartmouth - James M. Quinn School,720040,SCI,          48,49,           7,7,          41,42,          37,38,          12,12,          97,98,497.2,,,,2021
Dartmouth - Joseph Demello,720015,ELA,         135,57,          24,10,         111,47,          92,39,           8,3,         235,100,503.6,43.2,          70,,2021
Dartmouth - Joseph Demello,720015,MATH,         103,44,          10,4,          93,40,         109,46,          23,10,         235,100,496.0,42.2,          70,,2021
Dartmouth - Joseph Demello,720015,SCI,          38,54,           4,6,          34,48,          29,41,           4,6,          71,100,500.2,,,,2021
Dedham - Avery,730010,ELA,          74,47,           4,3,          70,45,          65,41,          18,11,         157,99,494.4,28.4,          50,,2021
Dedham - Avery,730010,MATH,          33,21,           3,2,          30,19,          91,58,          33,21,         157,99,484.7,39.9,          50,,2021
Dedham - Avery,730010,SCI,          22,44,           3,6,          19,38,          16,32,          12,24,          50,98,490.9,,,,2021
Dedham - Dedham Middle School,730305,ELA,         263,43,          36,6,         227,37,         236,39,         113,18,         612,96,494.9,32.4,         583,,2021
Dedham - Dedham Middle School,730305,MATH,         248,40,          38,6,         210,34,         289,47,          76,12,         613,96,496.3,33.6,         582,,2021
Dedham - Dedham Middle School,730305,SCI,          73,38,          10,5,          63,32,          86,44,          35,18,         194,92,493.9,,,,2021
Dedham - Greenlodge,730025,ELA,          78,67,          19,16,          59,50,          31,26,           8,7,         117,98,506.3,44.6,          34,,2021
Dedham - Greenlodge,730025,MATH,          63,54,          10,9,          53,45,          43,37,          11,9,         117,98,501.8,45.6,          34,,2021
Dedham - Greenlodge,730025,SCI,          25,74,           6,18,          19,56,           8,24,           1,3,          34,100,511.9,,,,2021
Dedham - Oakdale,730030,ELA,          81,56,          17,12,          64,44,          58,40,           6,4,         145,99,503.7,26.3,          48,,2021
Dedham - Oakdale,730030,MATH,          61,42,           7,5,          54,38,          67,47,          16,11,         144,98,496.0,36.0,          48,,2021
Dedham - Oakdale,730030,SCI,          21,43,           1,2,          20,41,          26,53,           2,4,          49,100,497.4,,,,2021
Dedham - Riverdale,730045,ELA,          57,62,           9,10,          48,52,          25,27,          10,11,          92,99,502.6,43.5,          29,,2021
Dedham - Riverdale,730045,MATH,          33,36,           4,4,          29,32,          46,50,          13,14,          92,99,493.9,46.9,          29,,2021
Dedham - Riverdale,730045,SCI,          10,32,           2,6,           8,26,          13,42,           8,26,          31,100,490.6,,,,2021
Deerfield - Deerfield Elementary,740015,ELA,          82,46,          11,6,          71,40,          73,41,          24,13,         179,95,495.3,27.3,          81,,2021
Deerfield - Deerfield Elementary,740015,MATH,          49,28,           6,3,          43,24,          94,53,          35,20,         178,95,488.6,28.6,          81,,2021
Deerfield - Deerfield Elementary,740015,SCI,          17,46,           7,19,          10,27,          16,43,           4,11,          37,97,499.9,,,,2021
Dennis-Yarmouth - Dennis-Yarmouth Regional High,6450505,ELA,          56,29,           8,4,          48,25,          91,47,          45,23,         192,87,489.2,29.7,         173,,2021
Dennis-Yarmouth - Dennis-Yarmouth Regional High,6450505,MATH,          64,33,          10,5,          54,28,          91,47,          37,19,         192,88,489.8,31.4,         174,,2021
Dennis-Yarmouth - Dennis-Yarmouth Regional High,6450505,SCI,          86,52,          15,9,          71,43,          57,34,          23,14,         166,87,498.0,,,,2021
Dennis-Yarmouth - Ezra H Baker Innovation School,6450005,ELA,          20,39,           3,6,          17,33,          28,55,           3,6,          51,100,498.1,,,,2021
Dennis-Yarmouth - Ezra H Baker Innovation School,6450005,MATH,          17,33,           3,6,          14,27,          23,45,          11,22,          51,100,493.1,,,,2021
Dennis-Yarmouth - Marguerite E Small Elementary,6450015,ELA,          11,27,           2,5,           9,22,          23,56,           7,17,          41,100,489.5,,,,2021
Dennis-Yarmouth - Marguerite E Small Elementary,6450015,MATH,           8,20,           1,2,           7,17,          20,49,          13,32,          41,100,482.8,,,,2021
Dennis-Yarmouth - Mattacheese Middle School,6450305,ELA,         189,46,          29,7,         160,39,         142,35,          76,19,         407,99,495.8,50.9,         370,,2021
Dennis-Yarmouth - Mattacheese Middle School,6450305,MATH,         100,25,           6,1,          94,23,         205,50,         103,25,         408,99,485.4,31.6,         374,,2021
Dennis-Yarmouth - Nathaniel H. Wixon School,6450050,ELA,         187,41,          17,4,         170,37,         202,44,          70,15,         459,98,493.6,32.9,         213,,2021
Dennis-Yarmouth - Nathaniel H. Wixon School,6450050,MATH,         139,30,           9,2,         130,29,         228,50,          89,20,         456,98,489.1,26.2,         211,,2021
Dennis-Yarmouth - Nathaniel H. Wixon School,6450050,SCI,          68,29,          11,5,          57,24,         114,49,          52,22,         234,98,488.5,,,,2021
Dennis-Yarmouth - Station Avenue Elementary,6450025,ELA,          45,53,          10,12,          35,41,          36,42,           4,5,          85,95,502.5,,,,2021
Dennis-Yarmouth - Station Avenue Elementary,6450025,MATH,          39,45,           7,8,          32,37,          34,40,          13,15,          86,96,495.8,,,,2021
Dighton-Rehoboth - Dighton Elementary,6500005,ELA,          89,55,          10,6,          79,49,          61,38,          12,7,         162,90,500.5,,,,2021
Dighton-Rehoboth - Dighton Elementary,6500005,MATH,          53,33,           2,1,          51,31,          83,51,          26,16,         162,90,489.7,,,,2021
Dighton-Rehoboth - Dighton Middle School,6500305,ELA,         149,44,          22,6,         127,37,         166,49,          24,7,         339,91,498.2,31.8,         335,,2021
Dighton-Rehoboth - Dighton Middle School,6500305,MATH,          72,22,          10,3,          62,19,         196,59,          64,19,         332,89,486.9,23.2,         327,,2021
Dighton-Rehoboth - Dighton Middle School,6500305,SCI,          55,37,           5,3,          50,34,          76,51,          18,12,         149,90,493.7,,,,2021
Dighton-Rehoboth - Dorothy L Beckwith,6500310,ELA,         208,47,          30,7,         178,40,         179,40,          56,13,         443,92,498.1,37.6,         412,,2021
Dighton-Rehoboth - Dorothy L Beckwith,6500310,MATH,         130,29,           9,2,         121,27,         244,55,          69,16,         443,92,491.0,23.7,         410,,2021
Dighton-Rehoboth - Dorothy L Beckwith,6500310,SCI,          86,42,           8,4,          78,38,          93,45,          26,13,         205,91,495.5,,,,2021
Dighton-Rehoboth - Palmer River,6500010,ELA,         102,50,          12,6,          90,44,          90,44,          11,5,         203,99,501.1,,,,2021
Dighton-Rehoboth - Palmer River,6500010,MATH,          74,37,           3,1,          71,35,          99,49,          29,14,         202,99,492.4,,,,2021
Douglas - Douglas Elementary School,770015,ELA,         131,51,          20,8,         111,43,         112,44,          14,5,         257,99,500.2,19.3,          86,,2021
Douglas - Douglas Elementary School,770015,MATH,          47,18,           1,0,          46,18,         146,57,          64,25,         257,99,481.8,19.1,          87,,2021
Douglas - Douglas Elementary School,770015,SCI,          43,48,           9,10,          34,38,          26,29,          21,23,          90,97,496.2,,,,2021
Douglas - Douglas Middle School,770305,ELA,         107,50,          25,12,          82,38,          84,39,          24,11,         215,81,500.5,33.2,         204,,2021
Douglas - Douglas Middle School,770305,MATH,          85,37,           2,1,          83,37,         115,51,          27,12,         227,86,493.2,32.5,         215,,2021
Douglas - Douglas Middle School,770305,SCI,          36,47,           3,4,          33,43,          36,47,           5,6,          77,86,498.6,,,,2021
Dover - Chickering,780005,ELA,         189,75,          50,20,         139,55,          56,22,           6,2,         251,99,512.7,47.8,          77,,2021
Dover - Chickering,780005,MATH,         197,78,          55,22,         142,56,          49,19,           6,2,         252,99,514.3,52.1,          77,,2021
Dover - Chickering,780005,SCI,          62,70,          16,18,          46,52,          23,26,           3,3,          88,98,512.5,,,,2021
Dover-Sherborn - Dover-Sherborn Regional Middle School,6550405,ELA,         354,77,          84,18,         270,59,          94,20,          11,2,         459,92,513.0,41.5,         429,,2021
Dover-Sherborn - Dover-Sherborn Regional Middle School,6550405,MATH,         340,75,          92,20,         248,55,         105,23,          10,2,         455,91,513.8,39.9,         425,,2021
Dover-Sherborn - Dover-Sherborn Regional Middle School,6550405,SCI,         100,74,          33,24,          67,50,          29,21,           6,4,         135,94,513.3,,,,2021
Dracut - Brookside Elementary,790035,ELA,         100,51,           7,4,          93,47,          84,43,          13,7,         197,98,498.7,35.5,          66,,2021
Dracut - Brookside Elementary,790035,MATH,          44,22,           0,0,          44,22,         120,61,          34,17,         198,98,485.5,27.7,          66,,2021
Dracut - Brookside Elementary,790035,SCI,          33,46,           1,1,          32,44,          28,39,          11,15,          72,100,494.9,,,,2021
Dracut - George H. Englesby Elementary School,790045,ELA,         136,51,          28,10,         108,40,         106,40,          26,10,         268,100,500.4,46.2,          83,,2021
Dracut - George H. Englesby Elementary School,790045,MATH,          95,35,          13,5,          82,31,         135,50,          38,14,         268,100,491.7,41.3,          83,,2021
Dracut - George H. Englesby Elementary School,790045,SCI,          33,38,           3,3,          30,34,          40,46,          14,16,          87,100,491.6,,,,2021
Dracut - Greenmont Avenue,790030,ELA,          54,38,           6,4,          48,34,          69,49,          19,13,         142,100,493.2,29.0,          56,,2021
Dracut - Greenmont Avenue,790030,MATH,          30,21,           3,2,          27,19,          79,56,          33,23,         142,100,483.9,44.9,          56,,2021
Dracut - Greenmont Avenue,790030,SCI,          15,26,           2,4,          13,23,          28,49,          14,25,          57,100,487.8,,,,2021
Dracut - Joseph A Campbell Elementary,790020,ELA,         126,49,          14,5,         112,44,         104,41,          25,10,         255,100,499.4,31.0,          75,,2021
Dracut - Joseph A Campbell Elementary,790020,MATH,          56,22,           1,0,          55,22,         144,57,          54,21,         254,100,485.0,31.4,          74,,2021
Dracut - Joseph A Campbell Elementary,790020,SCI,          24,29,           2,2,          22,27,          43,52,          16,19,          83,100,489.0,,,,2021
Dracut - Justus C. Richardson Middle School,790410,ELA,         368,41,          59,7,         309,35,         360,40,         164,18,         892,100,493.9,30.8,         850,,2021
Dracut - Justus C. Richardson Middle School,790410,MATH,         271,30,          26,3,         245,27,         451,51,         171,19,         893,100,489.3,27.3,         850,,2021
Dracut - Justus C. Richardson Middle School,790410,SCI,          94,36,           9,3,          85,32,         125,47,          45,17,         264,99,492.2,,,,2021
Dudley Street Neighborhood Charter School (District) - Dudley Street Neighborhood Charter School,4070405,ELA,          31,30,           2,2,          29,28,          55,52,          19,18,         105,97,488.4,33.6,          30,,2021
Dudley Street Neighborhood Charter School (District) - Dudley Street Neighborhood Charter School,4070405,MATH,          10,9,           0,0,          10,9,          51,48,          45,42,         106,98,473.1,17.7,          30,,2021
Dudley Street Neighborhood Charter School (District) - Dudley Street Neighborhood Charter School,4070405,SCI,           9,31,           0,0,           9,31,           8,28,          12,41,          29,97,479.9,,,,2021
Dudley-Charlton Reg - Charlton Middle School,6580310,ELA,         317,52,          41,7,         276,45,         226,37,          66,11,         609,99,499.7,36.8,         585,,2021
Dudley-Charlton Reg - Charlton Middle School,6580310,MATH,         178,29,           3,0,         175,29,         350,57,          81,13,         609,99,490.2,22.5,         586,,2021
Dudley-Charlton Reg - Charlton Middle School,6580310,SCI,         125,45,          12,4,         113,41,         132,48,          18,7,         275,98,499.1,,,,2021
Dudley-Charlton Reg - Dudley Elementary,6580005,ELA,         110,50,           9,4,         101,45,          98,44,          14,6,         222,98,499.4,,,,2021
Dudley-Charlton Reg - Dudley Elementary,6580005,MATH,          77,35,           5,2,          72,32,         111,50,          34,15,         222,98,490.2,,,,2021
Dudley-Charlton Reg - Dudley Middle School,6580305,ELA,         229,44,          27,5,         202,39,         222,43,          67,13,         518,99,496.2,37.5,         499,,2021
Dudley-Charlton Reg - Dudley Middle School,6580305,MATH,         129,25,           6,1,         123,24,         330,64,          56,11,         515,99,489.0,25.8,         496,,2021
Dudley-Charlton Reg - Dudley Middle School,6580305,SCI,          90,40,           9,4,          81,36,         114,51,          20,9,         224,99,495.0,,,,2021
Dudley-Charlton Reg - Heritage School,6580030,ELA,         165,66,          26,10,         139,56,          69,28,          16,6,         250,98,505.0,,,,2021
Dudley-Charlton Reg - Heritage School,6580030,MATH,         110,44,           8,3,         102,41,         106,42,          34,14,         250,98,494.5,,,,2021
Duxbury - Alden School,820004,ELA,         390,65,          44,7,         346,58,         182,30,          25,4,         597,99,505.3,35.8,         202,,2021
Duxbury - Alden School,820004,MATH,         297,50,          33,6,         264,44,         273,46,          26,4,         596,99,500.0,41.1,         201,,2021
Duxbury - Alden School,820004,SCI,         111,52,           9,4,         102,48,          95,44,           8,4,         214,99,501.9,,,,2021
Duxbury - Duxbury Middle,820305,ELA,         413,66,          79,13,         334,53,         182,29,          31,5,         626,95,507.9,37.0,         603,,2021
Duxbury - Duxbury Middle,820305,MATH,         351,56,          36,6,         315,50,         253,40,          25,4,         629,96,503.7,28.8,         607,,2021
Duxbury - Duxbury Middle,820305,SCI,         143,63,          17,7,         126,56,          78,34,           6,3,         227,96,505.0,,,,2021
East Bridgewater - East Bridgewater JR./SR. High School,830505,ELA,         119,37,          15,5,         104,32,         156,48,          48,15,         323,97,493.8,36.1,         319,,2021
East Bridgewater - East Bridgewater JR./SR. High School,830505,MATH,          78,24,          10,3,          68,21,         186,58,          57,18,         321,96,488.1,27.5,         317,,2021
East Bridgewater - East Bridgewater JR./SR. High School,830505,SCI,          48,32,          10,7,          38,26,          80,54,          21,14,         149,93,493.4,,,,2021
East Bridgewater - Gordon W. Mitchell School,830010,ELA,         338,56,          52,9,         286,47,         233,38,          36,6,         607,99,501.9,38.1,         302,,2021
East Bridgewater - Gordon W. Mitchell School,830010,MATH,         232,38,          21,3,         211,35,         305,50,          69,11,         606,99,493.8,28.2,         303,,2021
East Bridgewater - Gordon W. Mitchell School,830010,SCI,          84,53,          14,9,          70,44,          64,40,          11,7,         159,99,500.6,,,,2021
East Longmeadow - Birchland Park,870305,ELA,         303,55,          76,14,         227,41,         199,36,          51,9,         553,96,504.4,43.5,         532,,2021
East Longmeadow - Birchland Park,870305,MATH,         218,40,          28,5,         190,35,         259,48,          66,12,         543,94,495.3,33.9,         523,,2021
East Longmeadow - Birchland Park,870305,SCI,          70,49,          12,8,          58,40,          62,43,          12,8,         144,92,500.8,,,,2021
East Longmeadow - Mapleshade,870010,ELA,         110,46,          14,6,          96,40,         107,45,          22,9,         239,91,497.2,29.7,          78,,2021
East Longmeadow - Mapleshade,870010,MATH,          62,26,           6,3,          56,23,         125,52,          52,22,         239,91,487.0,22.7,          78,,2021
East Longmeadow - Mapleshade,870010,SCI,          40,48,           1,1,          39,46,          35,42,           9,11,          84,88,498.3,,,,2021
East Longmeadow - Mountain View,870015,ELA,         133,52,          15,6,         118,46,         102,40,          23,9,         258,97,499.4,51.1,          83,,2021
East Longmeadow - Mountain View,870015,MATH,          90,35,           7,3,          83,32,         131,51,          37,14,         258,97,492.1,37.3,          83,,2021
East Longmeadow - Mountain View,870015,SCI,          56,63,           3,3,          53,60,          23,26,          10,11,          89,98,503.2,,,,2021
Eastham - Eastham Elementary,850005,ELA,          54,64,           9,11,          45,53,          28,33,           3,4,          85,90,505.7,57.0,          22,,2021
Eastham - Eastham Elementary,850005,MATH,          34,40,           3,4,          31,36,          41,48,          10,12,          85,90,495.5,30.6,          22,,2021
Eastham - Eastham Elementary,850005,SCI,          20,77,           5,19,          15,58,           3,12,           3,12,          26,84,512.8,,,,2021
Easthampton - Center School,860005,ELA,          40,60,           5,7,          35,52,          24,36,           3,4,          67,95,503.6,,,,2021
Easthampton - Center School,860005,MATH,          17,25,           0,0,          17,25,          36,54,          14,21,          67,95,483.8,,,,2021
Easthampton - Maple,860010,ELA,          41,65,           5,8,          36,57,          20,32,           2,3,          63,94,505.4,,,,2021
Easthampton - Maple,860010,MATH,          24,38,           2,3,          22,35,          31,49,           8,13,          63,94,492.7,,,,2021
Easthampton - Neil A Pepin,860020,ELA,          32,49,           7,11,          25,38,          31,48,           2,3,          65,88,499.7,,,,2021
Easthampton - Neil A Pepin,860020,MATH,           9,14,           0,0,           9,14,          37,56,          20,30,          66,90,479.8,,,,2021
Easthampton - White Brook Middle School,860305,ELA,         160,39,          23,6,         137,34,         187,46,          59,15,         406,95,493.8,38.7,         392,,2021
Easthampton - White Brook Middle School,860305,MATH,          98,24,           7,2,          91,23,         221,55,          83,21,         402,94,486.4,30.7,         389,,2021
Easthampton - White Brook Middle School,860305,SCI,          78,40,          10,5,          68,35,          92,47,          27,14,         197,97,494.7,,,,2021
Easton - Easton Middle School,880405,ELA,         470,57,          85,10,         385,47,         274,33,          80,10,         824,96,503.0,36.7,         801,,2021
Easton - Easton Middle School,880405,MATH,         400,49,          43,5,         357,43,         353,43,          68,8,         821,95,499.6,32.0,         798,,2021
Easton - Easton Middle School,880405,SCI,         144,55,          30,11,         114,43,         107,41,          13,5,         264,94,504.7,,,,2021
Easton - Richardson Olmsted School,880025,ELA,         435,60,          74,10,         361,49,         266,36,          29,4,         730,97,504.7,41.9,         256,,2021
Easton - Richardson Olmsted School,880025,MATH,         358,49,          46,6,         312,43,         307,42,          65,9,         730,97,498.8,42.4,         256,,2021
Easton - Richardson Olmsted School,880025,SCI,         146,56,          23,9,         123,47,          98,38,          16,6,         260,96,502.0,,,,2021
Edgartown - Edgartown Elementary,890005,ELA,         103,42,           8,3,          95,39,          99,40,          44,18,         246,99,493.8,35.1,         130,,2021
Edgartown - Edgartown Elementary,890005,MATH,          58,24,           4,2,          54,22,         134,54,          54,22,         246,99,484.9,28.8,         130,,2021
Edgartown - Edgartown Elementary,890005,SCI,          27,38,           7,10,          20,28,          31,44,          13,18,          71,100,493.7,,,,2021
Erving - Erving Elementary,910030,ELA,           8,27,           0,0,           8,27,          19,63,           3,10,          30,56,488.5,,          18,,2021
Erving - Erving Elementary,910030,MATH,           4,14,           1,3,           3,10,          16,55,           9,31,          29,54,483.4,,          16,,2021
Erving - Erving Elementary,910030,SCI,           2,14,           1,7,           1,7,           9,64,           3,21,          14,67,482.8,,,,2021
Everett - Devens School,930030,ELA,           0,0,           0,0,           0,0,           8,38,          13,62,          21,76,467.0,,          14,,2021
Everett - Devens School,930030,MATH,           0,0,           0,0,           0,0,           4,19,          17,81,          21,79,460.7,,          14,,2021
Everett - Devens School,930030,SCI,           1,10,           0,0,           1,10,           1,10,           8,80,          10,100,463.7,,,,2021
Everett - George Keverian School,930028,ELA,         135,26,          10,2,         125,24,         237,45,         150,29,         522,85,483.8,25.0,         273,,2021
Everett - George Keverian School,930028,MATH,          76,15,           7,1,          69,14,         261,53,         158,32,         495,81,479.4,24.8,         254,,2021
Everett - George Keverian School,930028,SCI,          22,17,           3,2,          19,14,          60,45,          50,38,         132,73,478.7,,,,2021
Everett - Lafayette School,930038,ELA,         171,28,          14,2,         157,26,         244,40,         191,32,         606,91,485.0,27.0,         354,,2021
Everett - Lafayette School,930038,MATH,          92,15,          10,2,          82,14,         278,47,         227,38,         597,90,479.1,22.2,         350,,2021
Everett - Lafayette School,930038,SCI,          31,20,           3,2,          28,18,          64,42,          58,38,         153,78,479.3,,,,2021
Everett - Madeline English School,930018,ELA,         111,26,          10,2,         101,24,         209,49,         107,25,         427,88,485.0,25.4,         256,,2021
